Date,Symbol,Type,Entry Price,Exit Price,Entry Time,Exit Time,Exit Reason,PnL,Trade Count
2024-03-04,ACC,BUY,2720.25,2711.15,2024-03-04 11:35:00,2024-03-04 11:50:00,Stop Loss,-9.1,28
2024-03-05,ACC,SELL,2691.4,2674.0,2024-03-05 09:35:00,2024-03-05 10:20:00,Target Hit,17.4,17
2024-03-06,ACC,SELL,2658.0,2635.1,2024-03-06 09:20:00,2024-03-06 09:55:00,Target Hit,22.9,1
2024-03-07,ACC,SELL,2630.9,2645.05,2024-03-07 09:50:00,2024-03-07 12:40:00,Stop Loss,-14.15,14
2024-03-11,ACC,BUY,2664.5,2651.85,2024-03-11 09:20:00,2024-03-11 10:45:00,Stop Loss,-12.65,2
2024-03-11,ACC,SELL,2643.8,2651.95,2024-03-11 11:50:00,2024-03-11 12:25:00,Stop Loss,-8.15,32
2024-03-12,ACC,SELL,2627.95,2609.0,2024-03-12 09:20:00,2024-03-12 09:25:00,Target Hit,18.95,1
2024-03-13,ACC,SELL,2545.3,2523.0,2024-03-13 09:20:00,2024-03-13 09:35:00,Target Hit,22.3,1
2024-03-14,ACC,BUY,2431.7,2444.3,2024-03-14 09:25:00,2024-03-14 09:30:00,Target Hit,12.6,18
2024-03-15,ACC,BUY,2509.65,2482.8,2024-03-15 09:20:00,2024-03-15 09:30:00,Stop Loss,-26.85,2
2024-03-15,ACC,SELL,2460.75,2472.9,2024-03-15 09:50:00,2024-03-15 10:00:00,Stop Loss,-12.15,21
2024-03-18,ACC,SELL,2420.35,2398.1,2024-03-18 11:15:00,2024-03-18 11:30:00,Target Hit,22.25,24
2024-03-19,ACC,SELL,2433.75,2417.0,2024-03-19 09:25:00,2024-03-19 09:50:00,Target Hit,16.75,8
2024-03-20,ACC,SELL,2402.5,2411.9,2024-03-20 09:25:00,2024-03-20 09:35:00,Stop Loss,-9.4,8
2024-03-21,ACC,BUY,2436.9,2430.7,2024-03-21 10:05:00,2024-03-21 12:05:00,Stop Loss,-6.2,19
2024-03-22,ACC,SELL,2430.2,2417.05,2024-03-22 09:20:00,2024-03-22 10:40:00,Target Hit,13.15,2
2024-03-22,ACC,BUY,2454.9,2448.35,2024-03-22 14:00:00,2024-03-22 14:30:00,Stop Loss,-6.55,35
2024-03-26,ACC,BUY,2454.85,2467.2,2024-03-26 09:20:00,2024-03-26 09:25:00,Target Hit,12.35,1
2024-03-27,ACC,BUY,2469.95,2484.95,2024-03-27 09:25:00,2024-03-27 09:40:00,Target Hit,15.0,7
2024-03-27,ACC,SELL,2452.3,2451.95,2024-03-27 15:10:00,2024-03-27 15:15:00,Time Exit,0.35,39
2024-03-28,ACC,BUY,2479.05,2470.1,2024-03-28 09:35:00,2024-03-28 10:30:00,Stop Loss,-8.95,10
2024-04-01,ACC,BUY,2521.55,2505.05,2024-04-01 09:20:00,2024-04-01 09:35:00,Stop Loss,-16.5,2
2024-04-01,ACC,SELL,2504.05,2513.65,2024-04-01 09:40:00,2024-04-01 10:00:00,Stop Loss,-9.6,18
2024-01-01,ADANIENT,BUY,2863.05,2853.5,2024-01-01 09:20:00,2024-01-01 09:25:00,Stop Loss,-9.55,2
2024-01-01,ADANIENT,SELL,2846.4,2884.55,2024-01-01 09:35:00,2024-01-01 10:35:00,Stop Loss,-38.15,13
2024-01-02,ADANIENT,SELL,2890.1,2904.1,2024-01-02 09:20:00,2024-01-02 09:35:00,Stop Loss,-14.0,2
2024-01-02,ADANIENT,BUY,2925.95,2940.95,2024-01-02 14:00:00,2024-01-02 15:00:00,Target Hit,15.0,38
2024-01-03,ADANIENT,BUY,3111.05,3096.95,2024-01-03 09:35:00,2024-01-03 09:40:00,Stop Loss,-14.1,13
